gene_id	phastCons_mean
ZNF532	NA
ZNF532	NA
ZNF532	NA
ZNF532	NA
RNU6-1	0.000943396226415094
RNU6-9	0.000943396226415094
RNU6-7	0.000943396226415094
RNU6-8	0.000943396226415094
RNU6-2	0.000943396226415094
RHOC	0.189967964930029
ENTPD1	NA
CNTN4	NA
ZNF195	0.0599877479854861
PLPP4	NA
DDIT3	0.254388196387687
TMEM45B	NA
IFTAP	NA
TM4SF18	0.0711889035667109
ASIC2	NA
PKNOX1	NA
HR	0.196588923039836
HP	0.124236874236874
CBLIF	0.0773293073699779
FGB	0.147151898734177
CNGA2	0.195388170055453
ANXA3	0.0674898171344818
SCO2	0.159793307086614
DGCR2	NA
SLC12A6	NA
PPP4R1	0.0875426092345835
EXOSC10-AS1	0.069173859432799
EXOSC10-AS1	0.069173859432799
EXOSC10-AS1	0.0426998563906175
IQCE	NA
HPGD	0.0799651621183873
AMDHD2	0.117165800661313
MTOR-AS1	0.137185395249912
TM6SF1	0.0843967342001813
BRD4	0.0580045003708405
RAP1GAP	0.0934657770242556
LINC01647	0.0261699346405229
ARIH2	NA
ADARB1	0.0490288323617271
FBXO44	0.105488668555241
KLRG1	0.145192909624066
WASHC2A	NA
COA1	NA
RABGAP1L	NA
RABGAP1L	NA
EMC1	0.115480273246898
STX2	0.0472095224668182
STX2	0.0472095224668182
WDR25	NA
CLCN6	0.103800269905533
NPPA-AS1	0.0843951226195369
C2CD3	NA
RNU5E-1	0.7875
TRIP12	NA
CDC45	NA
H3-4	0.743713733075435
CDC7	0.141440899056793
AXIN1	0.0632396415715707
TMEM187	0.091668262784907
ACOX3	0.0594374219201268
MIR6729	0.00757575757575758
NCALD	NA
TMUB1	0.279502074688797
MIR7846	0.15360824742268
MAPK4	NA
DNPEP	0.103264678538225
DNPEP	0.103264678538225
NEPRO	0.103349198978407
FAM71F1	0.0885063045586805
LRRC28	NA
NOLC1	0.164828588526973
KIAA0319	0.0706776639304118
PINX1	0.0729530290899386
TLK2	0.104673697058103
SNORA59B	0.00130718954248366
SNORA59A	0.00130718954248366
MPDZ	0.104092283287162
MIR6730	0.179411764705882
FCHO1	0.0987799799113156
USP5	0.255741213836912
PRDM10	0.0879671469852419
LINC01784	0.00686456400742115
TBC1D3H	0.0909621523027816
BCLAF1	0.229612003637467
ZNF586	0.040926500091191
TMEM231	0.100661097729719
SS18L1	NA
DGLUCY	NA
PRAMEF36P	0.017467332820907
PRAMEF34P	0.017467332820907
PRAMEF36P	0.0152102938352218
PRAMEF34P	0.0152102938352218
PROM1	0.0450949325991532
ROBO1	NA
MTFR1	NA
MTFR1	NA
TNNI2	0.217684305744007
SOX6	NA
ERN1	NA
MTA1	0.0696841112682697
ARHGAP30	0.131742711465551
THAP5	0.178153684762654
KAZN-AS1	0.069556462968178
ATP6V0E1	0.0951873210000772
STAC2	0.162560041542256
PTPRR	NA
TMEM51-AS1	0.0357949373939141
AADAC	0.0588145262279116
RPL24	0.119008704920945
SERPINA3	0.0400377229080933
SLC5A11	NA
CEP19	0.133589958158996
CEP19	0.133589958158996
CEP19	0.133589958158996
DAB1	NA
DAB1	NA
RIMS2	NA
COX7A2L	0.110373009220453
COX7A2L	0.107154153874779
NREP	0.194503344243631
NREP	0.196952643873433
SCARNA21B	0.0185714285714286
